id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,receita_total,mes,mes_nome,trimestre,ano,faixa_receita_item
117,2024-07-08,Cliente_048,Teclado,Periféricos,Sul,3,241.65,724.95,7,July,Q3,2024,Médio Valor
118,2024-11-11,Cliente_029,Monitor,Computadores,Centro-Oeste,2,1320.13,2640.26,11,November,Q4,2024,Médio Valor
119,2024-12-17,Cliente_018,Smartphone,Celulares,Sul,6,1935.57,11613.42,12,December,Q4,2024,Alto Valor
120,2024-04-18,Cliente_016,Notebook,Computadores,Sul,8,3071.26,24570.08,4,April,Q2,2024,Alto Valor
121,2024-10-10,Cliente_010,Headset,Periféricos,Norte,10,319.05,3190.5,10,October,Q4,2024,Médio Valor
122,2024-03-15,Cliente_002,Notebook,Computadores,Sul,5,3876.33,19381.65,3,March,Q1,2024,Alto Valor
124,2024-07-04,Cliente_003,Notebook,Computadores,Norte,2,3475.06,6950.12,7,July,Q3,2024,Alto Valor
125,2024-01-16,Cliente_032,Tablet,Celulares,Centro-Oeste,8,1877.4,15019.2,1,January,Q1,2024,Alto Valor
126,2024-03-16,Cliente_021,Notebook,Computadores,Centro-Oeste,2,3313.22,6626.44,3,March,Q1,2024,Alto Valor
127,2024-09-15,Cliente_042,Teclado,Periféricos,Norte,9,234.62,2111.58,9,September,Q3,2024,Médio Valor
128,2024-04-26,Cliente_021,Mouse,Periféricos,Centro-Oeste,4,117.48,469.92,4,April,Q2,2024,Baixo Valor
129,2024-03-19,Cliente_028,Tablet,Celulares,Sudeste,5,1732.12,8660.599999999999,3,March,Q1,2024,Alto Valor
130,2024-10-11,Cliente_027,Mouse,Periféricos,Nordeste,6,131.22,787.3199999999999,10,October,Q4,2024,Médio Valor
131,2024-01-27,Cliente_014,Headset,Periféricos,Sul,7,388.65,2720.5499999999997,1,January,Q1,2024,Médio Valor
132,2024-02-25,Cliente_015,Mouse,Periféricos,Centro-Oeste,8,110.07,880.56,2,February,Q1,2024,Médio Valor
133,2024-11-14,Cliente_045,Headset,Periféricos,Nordeste,9,399.83,3598.47,11,November,Q4,2024,Médio Valor
134,2024-06-07,Cliente_043,Notebook,Computadores,Centro-Oeste,3,3261.93,9785.789999999999,6,June,Q2,2024,Alto Valor
135,2024-01-16,Cliente_011,Notebook,Computadores,Nordeste,3,3753.02,11259.06,1,January,Q1,2024,Alto Valor
136,2024-10-17,Cliente_004,Tablet,Celulares,Sudeste,6,1949.49,11696.94,10,October,Q4,2024,Alto Valor
137,2024-09-05,Cliente_023,Tablet,Celulares,Centro-Oeste,8,1887.45,15099.6,9,September,Q3,2024,Alto Valor
138,2024-10-30,Cliente_039,Notebook,Computadores,Sudeste,5,3687.13,18435.65,10,October,Q4,2024,Alto Valor
139,2024-04-18,Cliente_032,Notebook,Computadores,Centro-Oeste,4,3291.49,13165.96,4,April,Q2,2024,Alto Valor
140,2024-12-26,Cliente_026,Smartphone,Celulares,Sudeste,3,2120.94,6362.82,12,December,Q4,2024,Alto Valor
141,2024-02-09,Cliente_027,Monitor,Computadores,Nordeste,1,1185.51,1185.51,2,February,Q1,2024,Médio Valor
142,2024-06-15,Cliente_024,Notebook,Computadores,Sudeste,7,2996.9,20978.3,6,June,Q2,2024,Alto Valor
143,2024-10-28,Cliente_015,Monitor,Computadores,Nordeste,2,1107.59,2215.18,10,October,Q4,2024,Médio Valor
144,2024-11-20,Cliente_047,Headset,Periféricos,Sul,3,305.52,916.56,11,November,Q4,2024,Médio Valor
145,2024-04-11,Cliente_050,Smartphone,Celulares,Centro-Oeste,2,1966.65,3933.3,4,April,Q2,2024,Médio Valor
146,2024-08-17,Cliente_021,Monitor,Computadores,Nordeste,10,1293.56,12935.599999999999,8,August,Q3,2024,Alto Valor
147,2024-08-14,Cliente_005,Smartphone,Celulares,Nordeste,8,1915.07,15320.56,8,August,Q3,2024,Alto Valor
148,2024-07-07,Cliente_040,Monitor,Computadores,Norte,8,1033.54,8268.32,7,July,Q3,2024,Alto Valor
149,2024-10-10,Cliente_037,Teclado,Periféricos,Sul,7,247.2,1730.3999999999999,10,October,Q4,2024,Médio Valor
150,2024-03-18,Cliente_046,Tablet,Celulares,Sudeste,10,1786.84,17868.399999999998,3,March,Q1,2024,Alto Valor
151,2024-12-28,Cliente_024,Teclado,Periféricos,Nordeste,3,215.44,646.3199999999999,12,December,Q4,2024,Médio Valor
152,2024-12-13,Cliente_007,Monitor,Computadores,Norte,7,1298.81,9091.67,12,December,Q4,2024,Alto Valor
153,2024-12-02,Cliente_043,Mouse,Periféricos,Sul,7,112.23,785.61,12,December,Q4,2024,Médio Valor
154,2024-12-23,Cliente_036,Tablet,Celulares,Centro-Oeste,5,2052.56,10262.8,12,December,Q4,2024,Alto Valor
155,2024-12-09,Cliente_006,Mouse,Periféricos,Centro-Oeste,6,131.27,787.6200000000001,12,December,Q4,2024,Médio Valor
156,2024-06-07,Cliente_015,Teclado,Periféricos,Sul,6,213.87,1283.22,6,June,Q2,2024,Médio Valor
157,2024-02-21,Cliente_043,Smartphone,Celulares,Nordeste,2,2065.22,4130.44,2,February,Q1,2024,Médio Valor
158,2024-07-11,Cliente_011,Headset,Periféricos,Centro-Oeste,10,311.26,3112.6,7,July,Q3,2024,Médio Valor
159,2024-05-01,Cliente_015,Notebook,Computadores,Norte,7,3357.51,23502.57,5,May,Q2,2024,Alto Valor
160,2024-08-28,Cliente_029,Smartphone,Celulares,Centro-Oeste,5,2507.29,12536.45,8,August,Q3,2024,Alto Valor
161,2024-09-14,Cliente_009,Headset,Periféricos,Nordeste,5,379.2,1896.0,9,September,Q3,2024,Médio Valor
162,2024-10-10,Cliente_006,Notebook,Computadores,Sul,8,3892.82,31142.56,10,October,Q4,2024,Alto Valor
163,2024-03-16,Cliente_023,Tablet,Celulares,Sudeste,8,2018.87,16150.96,3,March,Q1,2024,Alto Valor
164,2024-07-10,Cliente_007,Monitor,Computadores,Nordeste,1,1162.72,1162.72,7,July,Q3,2024,Médio Valor
165,2024-05-26,Cliente_031,Headset,Periféricos,Centro-Oeste,3,311.95,935.8499999999999,5,May,Q2,2024,Médio Valor
166,2024-01-10,Cliente_034,Teclado,Periféricos,Centro-Oeste,1,280.44,280.44,1,January,Q1,2024,Baixo Valor
169,2024-12-08,Cliente_033,Teclado,Periféricos,Norte,7,226.55,1585.8500000000001,12,December,Q4,2024,Médio Valor
171,2024-11-17,Cliente_023,Tablet,Celulares,Norte,4,1925.79,7703.16,11,November,Q4,2024,Alto Valor
172,2024-12-16,Cliente_005,Tablet,Celulares,Centro-Oeste,3,1978.41,5935.2300000000005,12,December,Q4,2024,Alto Valor
173,2024-04-12,Cliente_035,Notebook,Computadores,Centro-Oeste,5,3186.67,15933.35,4,April,Q2,2024,Alto Valor
174,2024-04-07,Cliente_018,Tablet,Celulares,Sudeste,1,1936.78,1936.78,4,April,Q2,2024,Médio Valor
175,2024-07-23,Cliente_032,Headset,Periféricos,Centro-Oeste,6,343.38,2060.2799999999997,7,July,Q3,2024,Médio Valor
176,2024-02-12,Cliente_035,Tablet,Celulares,Nordeste,9,1674.03,15066.27,2,February,Q1,2024,Alto Valor
177,2024-12-04,Cliente_029,Tablet,Celulares,Nordeste,2,1573.24,3146.48,12,December,Q4,2024,Médio Valor
178,2024-06-29,Cliente_004,Monitor,Computadores,Sudeste,1,1281.65,1281.65,6,June,Q2,2024,Médio Valor
180,2024-11-26,Cliente_044,Smartphone,Celulares,Centro-Oeste,2,2025.76,4051.52,11,November,Q4,2024,Médio Valor
181,2024-02-09,Cliente_016,Tablet,Celulares,Sudeste,6,1769.73,10618.380000000001,2,February,Q1,2024,Alto Valor
182,2024-07-17,Cliente_014,Notebook,Computadores,Norte,3,3499.0,10497.0,7,July,Q3,2024,Alto Valor
183,2024-03-10,Cliente_006,Tablet,Celulares,Nordeste,8,1638.1,13104.8,3,March,Q1,2024,Alto Valor
184,2024-10-08,Cliente_045,Mouse,Periféricos,Sul,6,127.54,765.24,10,October,Q4,2024,Médio Valor
185,2024-03-03,Cliente_024,Headset,Periféricos,Norte,6,350.92,2105.52,3,March,Q1,2024,Médio Valor
186,2024-10-09,Cliente_046,Teclado,Periféricos,Centro-Oeste,6,247.56,1485.3600000000001,10,October,Q4,2024,Médio Valor
187,2024-10-21,Cliente_044,Teclado,Periféricos,Norte,7,270.19,1891.33,10,October,Q4,2024,Médio Valor
188,2024-10-09,Cliente_004,Tablet,Celulares,Sudeste,3,2004.1,6012.299999999999,10,October,Q4,2024,Alto Valor
189,2024-03-23,Cliente_019,Teclado,Periféricos,Sudeste,3,235.31,705.9300000000001,3,March,Q1,2024,Médio Valor
190,2024-10-09,Cliente_042,Tablet,Celulares,Sul,4,1872.93,7491.72,10,October,Q4,2024,Alto Valor
191,2024-12-03,Cliente_003,Teclado,Periféricos,Sudeste,10,224.06,2240.6,12,December,Q4,2024,Médio Valor
192,2024-10-22,Cliente_002,Notebook,Computadores,Centro-Oeste,1,3970.97,3970.97,10,October,Q4,2024,Médio Valor
193,2024-06-03,Cliente_005,Mouse,Periféricos,Sudeste,9,112.43,1011.8700000000001,6,June,Q2,2024,Médio Valor
194,2024-08-25,Cliente_047,Smartphone,Celulares,Nordeste,8,2144.31,17154.48,8,August,Q3,2024,Alto Valor
195,2024-09-20,Cliente_016,Monitor,Computadores,Sul,3,1293.84,3881.5199999999995,9,September,Q3,2024,Médio Valor
196,2024-07-15,Cliente_021,Notebook,Computadores,Norte,1,3279.72,3279.72,7,July,Q3,2024,Médio Valor
197,2024-03-22,Cliente_002,Mouse,Periféricos,Sudeste,6,108.83,652.98,3,March,Q1,2024,Médio Valor
198,2024-05-03,Cliente_042,Monitor,Computadores,Centro-Oeste,9,1184.6,10661.4,5,May,Q2,2024,Alto Valor
199,2024-02-25,Cliente_024,Tablet,Celulares,Sudeste,9,1534.42,13809.78,2,February,Q1,2024,Alto Valor
200,2024-04-09,Cliente_036,Monitor,Computadores,Nordeste,1,1225.3,1225.3,4,April,Q2,2024,Médio Valor
